"Outcome","rank_player1","rank_player2","Pts_player1","Pts_player2","B365_player1","B365_player2","PS_player1","PS_player2","Max_player1","Max_player2","Avg_player1","Avg_player2"
0,79,8,768,3940,6,1.12,6.53,1.15,7,1.18,5.91,1.14
1,11,47,3355,1029,1.61,2.3,1.68,2.33,1.69,2.38,1.63,2.27
0,18,8,2090,3940,4,1.25,3.83,1.31,4.2,1.31,3.8,1.27
1,79,75,768,808,2.75,1.44,3.03,1.44,3.03,1.45,2.83,1.43
0,21,47,1771,1029,1.66,2.2,1.75,2.2,1.76,2.3,1.69,2.17
1,11,40,3355,1089,1.57,2.37,1.63,2.37,1.63,2.53,1.58,2.37
0,64,18,912,2090,2.3,1.61,2.67,1.54,2.78,1.63,2.44,1.55
1,8,85,3940,723,1.2,4.5,1.19,5.36,1.24,5.5,1.18,4.69
0,81,75,762,808,2.1,1.72,2.18,1.77,2.29,1.77,2.13,1.71
1,79,50,768,997,3,1.4,3.12,1.42,3.12,1.45,2.94,1.4
0,59,47,937,1029,2.2,1.66,2.39,1.65,2.46,1.69,2.3,1.61
1,158,179,392,324,1.57,2.37,1.6,2.51,1.61,2.51,1.57,2.38
0,263,21,199,1771,5,1.16,5.8,1.17,6,1.19,5.23,1.16
1,40,158,1089,392,1.14,5.5,1.15,6.15,1.19,6.15,1.14,5.58
0,38,11,1149,3355,1.72,2.1,1.75,2.21,1.78,2.28,1.7,2.14
1,18,124,2090,502,1.8,2,1.74,2.22,1.82,2.22,1.75,2.07
0,25,79,1653,768,1.44,2.75,1.57,2.58,1.57,2.79,1.49,2.61
1,85,62,723,919,1.61,2.3,1.61,2.47,1.63,2.55,1.58,2.37
0,317,64,156,912,4.33,1.22,5.05,1.21,5.08,1.25,4.38,1.21
1,8,67,3940,889,1.12,6,1.14,6.94,1.14,6.94,1.12,6.03
0,15,50,2671,997,1.44,2.75,1.52,2.74,1.54,3,1.47,2.65
1,59,17,937,2135,4.33,1.22,4.41,1.25,4.6,1.25,4.21,1.22
0,24,47,1665,1029,1.53,2.5,1.56,2.59,1.58,2.61,1.53,2.48
1,40,73,1089,838,1.1,7,1.11,7.84,1.13,9,1.09,7.15
0,98,25,663,1653,2.3,1.61,2.27,1.69,2.51,1.69,2.24,1.64
1,79,83,768,746,2.3,1.61,2.54,1.57,2.54,1.64,2.41,1.56
0,42,124,1071,502,1.57,2.37,1.72,2.23,1.72,2.63,1.62,2.28
1,85,52,723,986,2.2,1.66,2.34,1.66,2.65,1.66,2.28,1.62
0,301,317,162,156,1.66,2.2,1.66,2.34,1.86,2.34,1.73,2.09
1,75,2,808,7980,3,1.4,3.22,1.4,3.23,1.41,3.02,1.37
0,134,81,475,762,2.3,1.61,2.28,1.7,2.4,1.74,2.25,1.63
1,59,54,937,970,2.1,1.72,2.11,1.81,2.24,1.82,2.06,1.75
0,68,158,867,392,1.72,2.1,1.74,2.2,1.75,2.3,1.7,2.13
1,263,71,199,848,3,1.4,3.11,1.42,3.15,1.42,2.96,1.39
0,60,38,935,1149,3,1.4,3.17,1.41,3.5,1.44,3.02,1.38
1,11,44,3355,1041,1.4,3,1.43,3.05,1.44,3.68,1.4,2.93
0,45,21,1034,1771,3.2,1.36,2.85,1.49,3.2,1.49,2.96,1.39
1,50,49,997,1011,1.5,2.62,1.52,2.7,1.59,2.88,1.51,2.54
0,101,62,645,919,3.75,1.28,3.9,1.29,4,1.3,3.71,1.27
1,75,93,808,698,1.57,2.37,1.63,2.41,1.63,2.45,1.59,2.34
0,194,134,295,475,1.4,3,1.41,3.14,1.5,3.18,1.4,2.91
1,67,61,889,920,3,1.4,2.97,1.44,3.1,1.46,2.89,1.41
0,209,45,269,1034,2.62,1.5,2.74,1.51,3.02,1.52,2.63,1.48
1,71,175,848,336,1.44,2.75,1.46,2.92,1.48,3,1.44,2.75
0,163,60,360,935,2.62,1.5,2.61,1.55,2.88,1.55,2.59,1.49
1,263,43,199,1070,6,1.12,6.6,1.14,6.6,1.18,5.32,1.15
0,267,47,191,1029,4.5,1.2,4.95,1.21,4.95,1.22,4.53,1.19
1,38,90,1149,715,1.2,4.5,1.28,4.07,1.33,4.56,1.24,3.95
0,159,24,379,1665,6,1.12,7.44,1.12,7.44,1.16,6.18,1.12
1,1,5,8260,5750,1.44,2.75,1.51,2.77,1.53,3.55,1.46,2.75
0,33,64,1218,912,1.66,2.2,1.68,2.3,1.7,2.37,1.64,2.23
1,81,41,762,1083,1.61,2.3,1.71,2.25,1.71,2.38,1.64,2.25
0,70,44,848,1041,6,1.12,7.56,1.11,8.25,1.15,6.78,1.1
1,73,39,838,1128,3.75,1.28,3.92,1.29,3.94,1.31,3.69,1.27
0,65,40,907,1089,4,1.25,4.16,1.27,4.16,1.31,3.84,1.25
1,5,3,5750,7020,1.61,2.3,1.68,2.34,1.68,2.49,1.62,2.3
0,10,1,3760,8260,4.5,1.2,4.1,1.28,5.06,1.28,4.32,1.22
1,3,45,7020,1033,1.14,5.5,1.13,7.35,1.22,7.35,1.14,5.7
0,13,5,3060,5750,2.75,1.44,2.73,1.52,2.87,1.52,2.73,1.46
1,10,16,3760,2671,1.4,3,1.44,3.02,1.45,3.2,1.41,2.9
0,9,1,3760,8260,5,1.16,5.59,1.18,6.1,1.21,5.24,1.17
1,3,22,7020,1691,1.22,4.33,1.25,4.43,1.27,4.88,1.22,4.2
0,24,5,1620,5750,4.5,1.2,4.91,1.22,4.91,1.26,4.42,1.21
1,9,59,3760,914,1.16,5,1.2,5.14,1.22,5.88,1.19,4.74
0,54,13,960,3060,4,1.25,4.57,1.24,4.57,1.28,4.12,1.23
1,45,23,1033,1650,2.37,1.57,2.59,1.56,2.68,1.57,2.48,1.53
